prod_name,sale_qty,sale_cost,sale
YOJAK KOKUM AGAL 1LTR,13,1196.1,1405
YOJAK KOKUM SYRUP 1LTR,65,8450.64,10270
AMUL BUTTER 100GM CBD,354,17269.38,18042
AMUL BUTTER 500GM CBD,50,12016.3,12690
AMUL CHEESE SLICE 100GM,111,7813.61,8186
AMUL CHEESE SLICES 200GM PP,73,8969.52,9417
AMUL FRESH CREAM 200ML,65,3982.38,4160
AMUL KOOL LASSI ROSE 200ML T,240,3312,3630
AMUL PASTEURISED BUTTER 200GM,133,13223.74,13947.73
AMUL PRO CHEES CHIP 1K,30,400.8,470
AMUL PRO CHEESE CHIPLETS 25GM,847,10872.89,12581
AMUL PROCD CHEESE BL 200G,46,4882.96,5134
BRITANNIA CHEESE CUBE 200GM,33,4358.14,4840
BRITANNIA CHEESE SLICES 100GM,9,779.77,858
BRITANNIA CHEESE SLICES 200GM,12,1704.23,1914
CHITALE  AMRAKHAND 500GM,23,2876.25,3252
CHITALE AMRAKHAND  250GM,51,3492.98,3887
CHITALE DAHI 100 GM,318,2986.39,3318
CHITALE LASSI MANGO 200ML,126,2421.19,2653
CHITALE LASSI SWEETENED 200ML,134,2570.8,2816
CHITALE PANEER 200G,293,21414.04,23497
CHITALE PROCESSED CHEESE 200G,14,1629.99,1826
CHITALE SET DAHI  200GM JAR,268,7283.81,7924
CHITALE SET DAHI  400GM JAR,171,8276.02,9234
CHITALE SHRIKHAND BAD/PIS 250,20,1383.7,1540
CHITALE SHRIKHAND ELAI  250G,47,3090.39,3438
CHITALE SHRIKHAND ELAI 500G,23,2820.71,3154.21
CHITALE SHRIKHAND KESAR 250G,3,207.56,231
GODREJ AIR SPRAY LU GREEN 300,2,259.13,306
GODREJ AIR SPRAY MORNING300ML,12,1633.67,1915
GODREJ AIR SPRAY VIOLET 300ML,11,1481.57,1748
GOWARDHAN GULAM JAMUN 200GM,77,4913.05,5487.5
NESTLE MILKMAID 400GM TIN,28,3390.95,3668
RICHEESE NABATI CHEE WAFER13G,436,2391.51,2750
RICHOCO NABATI CHOC WAFER13GM,509,2213.81,2545
SUNDROP PEAN BUT CRM 200G BTL,9,785.43,891
SUNDROP PEAN BUT CRU 462G BTL,2,297.36,334
SUNDROP PEAN BUT CUN 200G BTL,3,261.81,297
WARANA DAHI 100 GM,50,424.89,500
WARANA DAHI 200 GM,27,556,624
WARANA PANEER 200G,17,1275.02,1343
WARANA SHRIKHAND BAD/PIST 100,26,655.99,760
WARANA SHRIKHAND BAD/PIST200G,12,689.97,804
WARANA TABLE BUTTER 100GM,16,717.15,768
ASHWINS CASTOR OIL 50 ML,12,362.69,423
ASHWINS ERANDEL OIL 100 ML,10,413.5,516
ASHWINS ERANDEL OIL 200 ML,4,291.81,367
BAJAJ ALMOND DROP 100ML,18,1146.42,1242
BAJAJ ALMOND DROP 200ML,7,874.93,956
BAJAJ ALMOND DROP 300ML,6,1063.63,1158
BAJAJ ALMOND DROP 500ML,1,277.27,302
BAJAJ ALMOND DROP 50ML,12,403.56,432
CLINIC ALL CLE A.D SH 160 M,14,1377.4,1530
CLINIC PLUS EGG PRO SH 175ML,8,697.13,794
CLINIC PLUS SHAM 80ML,14,619.72,707
CLINIC PLUS SHAM AYU 8ML,897,686.01,896.91
